"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal","no_Breast","no_CNS","no_Colon","no_Leukemia","no_Melanoma","no_Non-Small Cell Lung","no_Ovarian","no_Renal"
"C19orf54",0.5,0.333333333333333,0.428571428571429,0.333333333333333,0.333333333333333,0.666666666666667,0.857142857142857,0.625,0.518518518518518,0.537037037037037,0.528301886792453,0.537037037037037,0.549019607843137,0.490196078431373,0.471698113207547,0.5
"FAM133B",0,0.166666666666667,0.142857142857143,0,0,0.222222222222222,0,0.125,0.0925925925925926,0.0740740740740741,0.0754716981132075,0.0925925925925926,0.0980392156862745,0.0588235294117647,0.0943396226415094,0.0769230769230769
"ZNF326",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"C4orf48",0.833333333333333,0.833333333333333,0.714285714285714,1,0.888888888888889,0.777777777777778,1,0.875,0.87037037037037,0.87037037037037,0.886792452830189,0.851851851851852,0.862745098039216,0.882352941176471,0.849056603773585,0.865384615384615
"NOM1",0,0,0,0.166666666666667,0,0,0,0,0.0185185185185185,0.0185185185185185,0.0188679245283019,0,0.0196078431372549,0.0196078431372549,0.0188679245283019,0.0192307692307692
"DALRD3",0.333333333333333,0,0.571428571428571,0.666666666666667,0.555555555555556,0.333333333333333,0.571428571428571,0,0.407407407407407,0.444444444444444,0.377358490566038,0.37037037037037,0.372549019607843,0.411764705882353,0.377358490566038,0.461538461538462
"MEST",0.833333333333333,0.666666666666667,0.714285714285714,0.666666666666667,0.888888888888889,0.777777777777778,0.714285714285714,0.875,0.777777777777778,0.796296296296296,0.792452830188679,0.796296296296296,0.764705882352941,0.784313725490196,0.792452830188679,0.769230769230769
"RILPL1",0,0,0,0.166666666666667,0,0,0,0,0.0185185185185185,0.0185185185185185,0.0188679245283019,0,0.0196078431372549,0.0196078431372549,0.0188679245283019,0.0192307692307692
"PDZD11",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CMPK2",0.5,0.333333333333333,0.571428571428571,0.166666666666667,0.444444444444444,0.555555555555556,0.857142857142857,0.75,0.537037037037037,0.555555555555556,0.528301886792453,0.574074074074074,0.549019607843137,0.529411764705882,0.490566037735849,0.5
"CARD16",1,0.833333333333333,1,0.333333333333333,0.555555555555556,0.777777777777778,0.857142857142857,1,0.777777777777778,0.796296296296296,0.773584905660377,0.851851851851852,0.843137254901961,0.803921568627451,0.792452830188679,0.769230769230769
"DJC21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"SGOL1",1,1,0.714285714285714,0.5,0.777777777777778,0.888888888888889,1,0.875,0.833333333333333,0.833333333333333,0.867924528301887,0.888888888888889,0.862745098039216,0.843137254901961,0.830188679245283,0.846153846153846
"ZRANB3",0.5,1,1,0.833333333333333,0.666666666666667,0.555555555555556,0.428571428571429,0.625,0.722222222222222,0.666666666666667,0.660377358490566,0.685185185185185,0.705882352941177,0.725490196078431,0.735849056603774,0.711538461538462
"ZNF789",1,0.833333333333333,0.571428571428571,0.833333333333333,0.555555555555556,0.888888888888889,0.857142857142857,0.375,0.703703703703704,0.722222222222222,0.754716981132076,0.722222222222222,0.764705882352941,0.705882352941177,0.716981132075472,0.788461538461538
"TNFAIP8L3",1,0.833333333333333,1,1,0.888888888888889,1,1,0.875,0.944444444444444,0.962962962962963,0.943396226415094,0.944444444444444,0.96078431372549,0.941176470588235,0.943396226415094,0.961538461538462
