"","Breast","CNS","Colon","Leukemia","Melanoma","Non-Small Cell Lung","Ovarian","Renal"
"MPHOSPH10",0,0,0,0,0,0,0,0
"NOP56",0,0,0,0,0,0,0,0
"DDX3X",0,0,0,0,0,0,0,0
"RSET2",0,0,0,0,0,0,0.142857142857143,0
"PODXL",0,0,0,0.5,0.666666666666667,0.222222222222222,0,0.25
"CYR61",0,0,0,0.333333333333333,0,0,0,0
"PIR",0,0,0,0,0,0,0,0
"PEX7",0,0.166666666666667,0.428571428571429,0,0.111111111111111,0.222222222222222,0.285714285714286,0.5
"KP4",0,0,0,0,0,0,0,0
"TRIM38",0.333333333333333,0,0.285714285714286,0,0,0.333333333333333,0,0
"NFIB",0,0,0.285714285714286,0.333333333333333,0,0,0.142857142857143,0
"E2F3",0.166666666666667,0,0.142857142857143,0,0.111111111111111,0.111111111111111,0,0.25
"PPP6C",0,0,0,0,0,0,0,0
"NME4",0.833333333333333,1,0.857142857142857,0.5,0.333333333333333,0.222222222222222,0.714285714285714,0.75
"CES2",0.333333333333333,0.5,0.571428571428571,0.5,0.444444444444444,0.555555555555556,0.142857142857143,0.125
"PIK3C2B",0.166666666666667,0.666666666666667,0.142857142857143,0.333333333333333,0.555555555555556,0.222222222222222,0,0.5
"MAN2B1",0,0,0,0,0,0,0,0
"WNT7A",1,1,0.428571428571429,1,0.777777777777778,0.777777777777778,0.714285714285714,0.75
"FBP2",0.5,0.5,0.714285714285714,0.833333333333333,0.888888888888889,0.888888888888889,0.857142857142857,0.875
"UBE2C",0,0,0,0.166666666666667,0,0,0.142857142857143,0
"ACACB",0.333333333333333,0.5,0.428571428571429,0.333333333333333,0.333333333333333,0.444444444444444,0.142857142857143,0.375
"PDXK",0,0,0,0,0,0,0,0
"SCD",0.5,0.833333333333333,0.428571428571429,0.333333333333333,0.666666666666667,0.555555555555556,0.857142857142857,0.875
"DLGAP1",1,1,1,0.833333333333333,1,0.888888888888889,1,0.875
"PPAP2A",0.833333333333333,0.666666666666667,0.857142857142857,0.5,0.555555555555556,1,0.714285714285714,0.875
"PPAP2B",0.166666666666667,0.666666666666667,0.714285714285714,0.833333333333333,0.222222222222222,0.555555555555556,0.428571428571429,1
"ARID1A",0,0,0,0,0,0,0,0
"BHLHE40",0.5,0.5,0.857142857142857,0.666666666666667,0.555555555555556,0.555555555555556,0.571428571428571,0.625
"CDK2AP1",0.166666666666667,0,0.142857142857143,0.5,0.222222222222222,0.111111111111111,0.428571428571429,0.125
"C2CD2L",0.5,0.5,0.428571428571429,0.166666666666667,0.111111111111111,0.444444444444444,0.714285714285714,0.625
"FCHO1",0.333333333333333,0,0,0,0,0.111111111111111,0.285714285714286,0.625
"CUX2",1,1,0.857142857142857,1,1,1,1,1
"TXNDC9",0,0,0,0,0,0,0,0
"DPYSL4",0,0,0,0.333333333333333,0,0.111111111111111,0.285714285714286,0
"SOCS3",1,1,1,0.666666666666667,0.888888888888889,1,0.857142857142857,1
"SOCS6",1,1,0.571428571428571,1,0.777777777777778,0.333333333333333,1,0.625
"TRAFD1",0,0,0,0,0,0,0,0
"COX7A2L",0.5,0.833333333333333,0.428571428571429,0.333333333333333,0.444444444444444,0.666666666666667,0.428571428571429,0.5
"GAPDHS",0,0,0.428571428571429,0.333333333333333,0.444444444444444,0.444444444444444,0.571428571428571,0.25
"HSPB6",0.5,0.5,0.571428571428571,0.833333333333333,0.444444444444444,0.333333333333333,0.285714285714286,0.375
"NDUFAB1",0,0,0,0,0,0,0,0
"UBFD1",0,0,0,0,0,0,0,0
"DYNC1I1",0,0,0.142857142857143,0.333333333333333,0.111111111111111,0.222222222222222,0,0.125
"CIT",1,0.833333333333333,0.857142857142857,1,1,1,0.857142857142857,0.75
"COPE",0,0,0,0,0,0,0,0
"RFXANK",0.166666666666667,0.5,0.571428571428571,0,0.444444444444444,0.444444444444444,0.142857142857143,0.375
"EIF1AY",1,0.5,0.714285714285714,0.5,0.777777777777778,0.444444444444444,0.857142857142857,0.625
"GNGT2",1,0.833333333333333,0.857142857142857,0.833333333333333,0.888888888888889,0.888888888888889,0.714285714285714,1
"CDC42EP2",0.5,0.833333333333333,0.857142857142857,0.833333333333333,0.888888888888889,0.444444444444444,0,0.25
"AP3D1",0,0,0,0,0,0,0,0
"CCS",0,0,0,0,0,0,0,0
"ZNF195",0.166666666666667,0.166666666666667,0,0.166666666666667,0.111111111111111,0.111111111111111,0,0
"ABLIM1",0,0,0,0.166666666666667,0,0,0,0
"DVL1",0,0,0,0,0.111111111111111,0.111111111111111,0,0
"DVL2",0,0,0,0,0,0,0,0
"DLI1",0.833333333333333,1,1,1,1,1,1,1
"CHD1",0,0,0,0,0,0,0,0
"CHD2",0,0,0,0.166666666666667,0,0,0,0
"GOSR2",0.166666666666667,0.166666666666667,0.142857142857143,0,0,0,0.142857142857143,0.25
"TOR1A",0,0,0,0,0,0,0,0
"TOR1B",0,0,0,0,0,0,0,0
"STX16",0,0,0.142857142857143,0,0,0.111111111111111,0.142857142857143,0.125
"ADAM10",0,0,0.142857142857143,0,0,0,0.142857142857143,0.25
"ENC1",0.5,0.166666666666667,0.428571428571429,0.5,0.333333333333333,0,0.142857142857143,0.125
"PTGES",0.5,1,1,1,0.888888888888889,0.666666666666667,0.857142857142857,1
"KMT2D",0,0,0,0,0,0,0,0
"ITGB1BP1",0.333333333333333,0.5,0.714285714285714,0.5,0.777777777777778,0.333333333333333,0.571428571428571,0.375
"TRDMT1",0.833333333333333,0.333333333333333,0.285714285714286,0.333333333333333,0.555555555555556,0.444444444444444,0.428571428571429,0.5
"APAF1",0,0,0,0.166666666666667,0,0,0,0
"RIOK3",0,0.166666666666667,0,0,0,0.111111111111111,0,0
"IMPA2",0.166666666666667,0.333333333333333,0,0.166666666666667,0.333333333333333,0.111111111111111,0.142857142857143,0
"MAP2K7",0,0,0,0,0,0,0,0
"ACOT8",0.166666666666667,0.5,0.142857142857143,0.166666666666667,0,0,0.142857142857143,0.375
"CDIPT",0.666666666666667,0.5,1,0.833333333333333,0.666666666666667,0.555555555555556,0.428571428571429,0.625
"PDCD5",0,0,0,0,0,0,0,0
"PRMT5",0,0,0,0,0,0,0,0
"SLC9A3R1",0,0,0,0,0,0,0,0
"CHEK1",0,0,0,0,0,0,0.142857142857143,0
"TNFRSF10B",0.666666666666667,0.833333333333333,0.571428571428571,0.833333333333333,0.444444444444444,0.777777777777778,0.857142857142857,0.75
"MEIS2",0.666666666666667,0.833333333333333,0.571428571428571,0.833333333333333,1,0.666666666666667,1,1
"FPGT",0,0,0,0.166666666666667,0,0,0,0
"TPP1",0,0,0,0,0,0.111111111111111,0,0
"GNB5",0.833333333333333,0.333333333333333,1,1,0.777777777777778,0.888888888888889,0.857142857142857,1
"TCERG1",0,0,0,0,0,0,0,0
"NDC80",0,0,0,0,0,0,0,0
"KIF3C",0,0.166666666666667,0,0,0,0.222222222222222,0,0
"NRP1",0,0,0.142857142857143,0.333333333333333,0.333333333333333,0,0,0
"TNPO2",1,1,0.571428571428571,0.666666666666667,0.777777777777778,0.888888888888889,1,0.875
"APOL1",0.666666666666667,0.666666666666667,0.857142857142857,0.833333333333333,0.888888888888889,0.888888888888889,0.714285714285714,0.375
"UNC13B",0.166666666666667,0,0,0,0,0,0.142857142857143,0
"POLR3A",0,0,0,0,0,0,0,0
"CPLX1",0.5,0.833333333333333,0.142857142857143,0.666666666666667,0.888888888888889,0.333333333333333,0.571428571428571,0.75
"TSPAN4",0.666666666666667,0,0.714285714285714,0.833333333333333,0.666666666666667,0.777777777777778,0.857142857142857,0.875
"PSMA7",0,0,0,0,0,0,0,0
